level_1,level_2,level_3,level_4,level_5
Model Architecture Design,Layer Configuration,Trainable Layers,Recurrent Layer,
Model Architecture Design,Layer Configuration,Trainable Layers,LSTM Layer,
Model Architecture Design,Layer Configuration,Trainable Layers,GRU Layer,
Model Architecture Design,Layer Configuration,Trainable Layers,Embedding Layer,
Model Architecture Design,Layer Configuration,Trainable Layers,Self-Attention Layer,
Model Architecture Design,Activation Functions,Non-Linear Activations,,
Model Architecture Design,Activation Functions,Non-Linear Activations,Rectified Linear Unit (Relu),
Model Architecture Design,Activation Functions,Non-Linear Activations,Sigmoid,
Model Architecture Design,Activation Functions,Non-Linear Activations,Tanh,
Model Architecture Design,Activation Functions,Non-Linear Activations,Leaky Relu,
Model Architecture Design,Activation Functions,Non-Linear Activations,Softmax,
Model Architecture Design,Layer Configuration,Pooling Layers,,
Model Architecture Design,Layer Configuration,Pooling Layers,Max Pooling,
Model Architecture Design,Layer Configuration,Pooling Layers,Average Pooling,
Model Architecture Design,Layer Configuration,Pooling Layers,Global Pooling,
Model Architecture Design,Layer Configuration,Normalization Layers,,
Model Architecture Design,Layer Configuration,Normalization Layers,Batch Normalization,
Model Architecture Design,Layer Configuration,Normalization Layers,Layer Normalization,
Model Architecture Design,Layer Configuration,Normalization Layers,Instance Normalization,
Model Architecture Design,Layer Configuration,Regularization Layers,,
Model Architecture Design,Layer Configuration,Regularization Layers,Dropout,
Model Architecture Design,Layer Configuration,Regularization Layers,Spatial Dropout,
Model Architecture Design,Layer Configuration,Transforming Layers,,
Model Architecture Design,Layer Configuration,Transforming Layers,Flattening,
Model Architecture Design,Layer Configuration,Transforming Layers,Reshape,
Model Architecture Design,Layer Configuration,Transforming Layers,Concatenate,
Model Architecture Design,,,,
Model Architecture Design,Weight Initialization,,,
Model Architecture Design,Weight Initialization,Random Initialization,,
Model Architecture Design,Weight Initialization,Random Initialization,Uniform Distribution,
Model Architecture Design,Weight Initialization,Random Initialization,Normal Distribution,
Model Architecture Design,Weight Initialization,Glorot/Xavier Initialization,,
Model Architecture Design,Weight Initialization,He Initialization,,
Model Architecture Design,Weight Initialization,Orthogonal Initialization,,
Model Architecture Design,Weight Initialization,Pretrained Weights,,
Model Architecture Design,Weight Initialization,Zero Weight Initialization,,
Model Architecture Design,Layer Configuration,Output Layer - Classification,,
Model Architecture Design,Layer Configuration,Output Layer - Classification,Binary Classification,Sigmoid
Model Architecture Design,Layer Configuration,Output Layer - Classification,Multi-Class Classification,Softmax
Model Architecture Design,Layer Configuration,Output Layer - Regression,Linear Activation,
Model Architecture Design,Layer Configuration,Transforming Layers,Embedding Layer,
Model Hyperparameters,Regularization Techniques,,,
Model Hyperparameters,Regularization Techniques,Parameter Norm Penalties,,
Model Hyperparameters,Regularization Techniques,Parameter Norm Penalties,Least Absolute Shrinkage and Selection Operator (LASSO),
Model Hyperparameters,Regularization Techniques,Parameter Norm Penalties,Least Absolute Shrinkage and Selection Operator (LASSO),Least Absolute Shrinkage and Selection Operator (LASSO)
Model Hyperparameters,Regularization Techniques,Parameter Norm Penalties,Least Absolute Shrinkage and Selection Operator (LASSO),Sparse Coding
Model Hyperparameters,Regularization Techniques,Parameter Norm Penalties,Least Absolute Shrinkage and Selection Operator (LASSO),L1-Regularized Logistic Regression
Model Hyperparameters,Regularization Techniques,Parameter Norm Penalties,Least Absolute Shrinkage and Selection Operator (LASSO),Least Angle Regression
Model Hyperparameters,Regularization Techniques,Parameter Norm Penalties,Least Absolute Shrinkage and Selection Operator (LASSO),Group Lasso
Model Hyperparameters,Regularization Techniques,Parameter Norm Penalties,Least Absolute Shrinkage and Selection Operator (LASSO),Fused Lasso
Model Hyperparameters,Regularization Techniques,Parameter Norm Penalties,Least Absolute Shrinkage and Selection Operator (LASSO),Graphical Lasso
Model Hyperparameters,Regularization Techniques,Parameter Norm Penalties,Least Absolute Shrinkage and Selection Operator (LASSO),L1-regularized SVM
Model Hyperparameters,Regularization Techniques,Parameter Norm Penalties,Ridge Regression,
Model Hyperparameters,Regularization Techniques,Parameter Norm Penalties,Ridge Regression,Weight Decay
Model Hyperparameters,Regularization Techniques,Parameter Norm Penalties,Elastic Net,
Model Hyperparameters,Regularization Techniques,Noise Injection,,
Model Hyperparameters,Regularization Techniques,Noise Injection,Dropout,
Model Hyperparameters,Regularization Techniques,Noise Injection,Data Augmentation,
Model Hyperparameters,Regularization Techniques,Noise Injection,Gaussian Noise,
Model Hyperparameters,Regularization Techniques,Early Stopping,,
Model Hyperparameters,Regularization Techniques,Ensemble Methods,,
Model Hyperparameters,Regularization Techniques,Ensemble Methods,Bootstrap Aggregating,
Model Hyperparameters,Regularization Techniques,Ensemble Methods,Boosting,
Model Hyperparameters,Regularization Techniques,Ensemble Methods,Random Forest,
Model Hyperparameters,Regularization Techniques,Constraints,,
Model Hyperparameters,Regularization Techniques,Constraints,Max Norm Constraints,
Model Hyperparameters,Regularization Techniques,Data Augmentation,,
Model Hyperparameters,Regularization Techniques,Data Augmentation,Image Transformations,
Model Hyperparameters,Regularization Techniques,Data Augmentation,Text Augmentation,
Model Hyperparameters,Regularization Techniques,Pruning,,
Model Hyperparameters,Regularization Techniques,Pruning,Weight Pruning,
Model Hyperparameters,Regularization Techniques,Pruning,Unit Pruning,
Model Hyperparameters,Regularization Techniques,Batch Normalization,,
Model Hyperparameters,Regularization Techniques,Layer Normalization,,
Model Hyperparameters,Regularization Techniques,Gradient Clipping,,
Model Hyperparameters,Parameter Optimizer,,,
Model Hyperparameters,Parameter Optimizer,Gradient Descent Algorithms,,
Model Hyperparameters,Parameter Optimizer,Gradient Descent Algorithms,Fixed Learning Rate,
Model Hyperparameters,Parameter Optimizer,Gradient Descent Algorithms,Fixed Learning Rate,Gradient Descent
Model Hyperparameters,Parameter Optimizer,Gradient Descent Algorithms,Fixed Learning Rate,Stochastic Gradient Descent
Model Hyperparameters,Parameter Optimizer,Gradient Descent Algorithms,Fixed Learning Rate,Mini-Batch Gradient Descent
Model Hyperparameters,Parameter Optimizer,Gradient Descent Algorithms,Momentum-Based,
Model Hyperparameters,Parameter Optimizer,Gradient Descent Algorithms,Momentum-Based,Momentum-based SGD
Model Hyperparameters,Parameter Optimizer,Gradient Descent Algorithms,Momentum-Based,Nesterov Accelerated Gradient
Model Hyperparameters,Parameter Optimizer,Gradient Descent Algorithms,Adaptive Learning Rate,
Model Hyperparameters,Parameter Optimizer,Gradient Descent Algorithms,Adaptive Learning Rate,Adagrad
Model Hyperparameters,Parameter Optimizer,Gradient Descent Algorithms,Adaptive Learning Rate,RMSProp
Model Hyperparameters,Parameter Optimizer,Gradient Descent Algorithms,Adaptive Learning Rate,Adam
Model Hyperparameters,Parameter Optimizer,Gradient Descent Algorithms,Adaptive Learning Rate,Adamw
Model Hyperparameters,Parameter Optimizer,Hessian-Based Methods,,
Model Hyperparameters,Parameter Optimizer,Hessian-Based Methods,Newton'S Method,
Model Hyperparameters,Parameter Optimizer,Quasi-Newton Methods,,
Model Hyperparameters,Parameter Optimizer,Quasi-Newton Methods,L-BFGS,
Model Hyperparameters,Learning Rate Schedule,,,
Model Hyperparameters,Learning Rate Schedule,Fixed Schedule,,
Model Hyperparameters,Learning Rate Schedule,Fixed Schedule,Step Decay,
Model Hyperparameters,Learning Rate Schedule,Fixed Schedule,Exponential Decay,
Model Hyperparameters,Learning Rate Schedule,Adaptive Schedule,,
Model Hyperparameters,Learning Rate Schedule,Adaptive Schedule,Cosine Annealing,
Model Hyperparameters,Learning Rate Schedule,Adaptive Schedule,Cyclic Learning Rates,
Model Hyperparameters,Learning Rate Schedule,Adaptive Schedule,Reduce On Plateau,
Model Hyperparameters,Loss Function,Regression Loss,Huber Loss,
Model Hyperparameters,Loss Function,Classification Loss,,
Model Hyperparameters,Loss Function,Classification Loss,Binary Cross-Entropy,
Model Hyperparameters,Loss Function,Classification Loss,Hinge Loss,
Model Hyperparameters,Loss Function,Classification Loss,Categorical Cross-Entropy,
Model Hyperparameters,Loss Function,Classification Loss,Focal Loss,
Model Hyperparameters,Loss Function,Probabilistic Loss,,
Model Hyperparameters,Loss Function,Probabilistic Loss,Kullback-Leibler Divergence,
Model Hyperparameters,Loss Function,Contrastive Loss,,
Model Hyperparameters,Loss Function,Contrastive Loss,Triplet Loss,
Model Hyperparameters,Loss Function,Adversarial Loss,,
Model Hyperparameters,Loss Function,Perceptual Loss,VGG Loss,
Model Hyperparameters,Loss Function,Diffusion Model Loss,,
Model Hyperparameters,Loss Function,Adversarial Loss,Wasserstein Loss,
Model Hyperparameters,Loss Function,Perceptual Loss,,
Model Hyperparameters,Loss Function,Adversarial Loss,Minimax Loss,
Model Hyperparameters,Loss Function,Diffusion Model Loss,Variational Lower Bound,
Model Hyperparameters,Loss Function,,,
Model Hyperparameters,Loss Function,Regression Loss,,
Model Hyperparameters,Loss Function,Regression Loss,Mean Squared Error,
Model Hyperparameters,Loss Function,Regression Loss,Mean Absolute Error,
Model Hyperparameters,Number Of Epochs,,,
Model Hyperparameters,Batch Size,,,
Model Hyperparameters,Learning Rate,,,
Ml Methods,Regression Analysis,,,
Ml Methods,Regression Analysis,Logistic Regression,,
Ml Methods,Regression Analysis,Linear Regression,Ordinary Least Squares Regression,
Ml Methods,Regression Analysis,Linear Regression,,
Ml Methods,Regression Analysis,Stepwise Regression,,
Ml Methods,Regression Analysis,Multivariate Adaptive Regression Splines,,
Ml Methods,Regression Analysis,Regularization Techniques,,
Ml Methods,Regression Analysis,Regularization Techniques,Ridge Regression,
Ml Methods,Regression Analysis,Regularization Techniques,Least Absolute Shrinkage and Selection Operator (LASSO),
Ml Methods,Regression Analysis,Regularization Techniques,Least-Angle Regression,
Ml Methods,Regression Analysis,Regression Classifiers,,
Ml Methods,Regression Analysis,Regression Classifiers,Naive Bayes,
Ml Methods,Regression Analysis,Regression Classifiers,Binary Classifier,
Ml Methods,Regression Analysis,Regression Classifiers,Linear Classifier,
Ml Methods,Regression Analysis,Regression Classifiers,Hierarchical Classifier,
Ml Methods,Dimensionality Reduction,,,
Ml Methods,Dimensionality Reduction,Canonical Correlation Analysis,,
Ml Methods,Dimensionality Reduction,Factor Analysis,,
Ml Methods,Dimensionality Reduction,Feature Extraction,,
Ml Methods,Dimensionality Reduction,Feature Selection,,
Ml Methods,Dimensionality Reduction,Independent Component Analysis,,
Ml Methods,Dimensionality Reduction,Linear Discriminant Analysis,,
Ml Methods,Dimensionality Reduction,Multi-Dimensional Scaling,,
Ml Methods,Dimensionality Reduction,Non-Negative Matrix Factorization,,
Ml Methods,Dimensionality Reduction,Partial Least Squares Regression,,
Ml Methods,Dimensionality Reduction,Principal Component Analysis,,
Ml Methods,Dimensionality Reduction,Principal Component Regression,,
Ml Methods,Dimensionality Reduction,Projection Pursuit,,
Ml Methods,Dimensionality Reduction,Sammon Mapping,,
Ml Methods,Dimensionality Reduction,t-distributed stochastic neighbor embedding (t-SNE),,
Ml Methods,Ensemble Learning,,,
Ml Methods,Ensemble Learning,Adaboost,,
Ml Methods,Ensemble Learning,Boosting,,
Ml Methods,Ensemble Learning,Bootstrap Aggregating,,
Ml Methods,Ensemble Learning,Ensemble Averaging,,
Ml Methods,Ensemble Learning,Gradient Boosted Decision Tree,,
Ml Methods,Ensemble Learning,Gradient Boosting,,
Ml Methods,Ensemble Learning,Stacked Generalization,,
Ml Methods,Ensemble Learning,Random Forest,,
Ml Methods,Meta-Learning,,,
Ml Methods,Meta-Learning,Inductive Bias,,
Ml Methods,Meta-Learning,Metadata,,
Ml Methods,Reinforcement Learning,,,
Ml Methods,Reinforcement Learning,Value-Based Methods,Q-Learning,
Ml Methods,Reinforcement Learning,Value-Based Methods,Temporal Difference Learning,
Ml Methods,Reinforcement Learning,Learning Automata,,
Ml Methods,Supervised Learning,,,
Ml Methods,Supervised Learning,Averaged One-Dependence Estimators,,
Ml Methods,Supervised Learning,Artificial Neural Network,,
Ml Methods,Supervised Learning,Case-Based Reasoning,,
Ml Methods,Supervised Learning,Gaussian Process Regression,,
Ml Methods,Supervised Learning,Group Method Of Data Handling,,
Ml Methods,Supervised Learning,Inductive Logic Programming,,
Ml Methods,Supervised Learning,Instance-Based Learning,,
Ml Methods,Supervised Learning,Lazy Learning,,
Ml Methods,Supervised Learning,Learning Automata,,
Ml Methods,Supervised Learning,Learning Vector Quantization,,
Ml Methods,Supervised Learning,Logistic Model Tree,,
Ml Methods,Supervised Learning,K-Nearest Neighbor,,
Ml Methods,Supervised Learning,Analogical Modeling,,
Ml Methods,Supervised Learning,Probably Approximately Correct Learning,,
Ml Methods,Supervised Learning,Ripple Down Rules,,
Ml Methods,Supervised Learning,Support Vector Machines,,
Ml Methods,Supervised Learning,Random Forest,,
Ml Methods,Supervised Learning,Bootstrap Aggregating,,
Ml Methods,Supervised Learning,Boosting,,
Ml Methods,Supervised Learning,Ordinal Classification,,
Ml Methods,Supervised Learning,Conditional Random Field,,
Ml Methods,Supervised Learning,ANOVA,,
Ml Methods,Supervised Learning,Quadratic Classifiers,,
Ml Methods,Supervised Learning,Bayesian Network,,
Ml Methods,Supervised Learning,Hidden Markov Models,,
Ml Methods,Supervised Learning,Hidden Markov Models,Hierarchical Hidden Markov Model,
Ml Methods,Bayesian Statistics,,,
Ml Methods,Bayesian Statistics,Naive Bayes,,
Ml Methods,Bayesian Statistics,Gaussian Naive Bayes,,
Ml Methods,Bayesian Statistics,Multinomial Naive Bayes,,
Ml Methods,Bayesian Statistics,Averaged One-Dependence Estimators,,
Ml Methods,Bayesian Statistics,Bayesian Belief Network,,
Ml Methods,Bayesian Statistics,Bayesian Network,,
Ml Methods,Unsupervised Learning,,,
Ml Methods,Unsupervised Learning,Association Rule Learning,,
Ml Methods,Unsupervised Learning,Association Rule Learning,Apriori Algorithm,
Ml Methods,Unsupervised Learning,Association Rule Learning,Eclat Algorithm,
Ml Methods,Unsupervised Learning,Cluster Analysis,,
Ml Methods,Unsupervised Learning,Cluster Analysis,BIRCH,
Ml Methods,Unsupervised Learning,Cluster Analysis,DBSCAN,
Ml Methods,Unsupervised Learning,Cluster Analysis,Expectation-Maximization Algorithm,
Ml Methods,Unsupervised Learning,Cluster Analysis,Fuzzy Clustering,
Ml Methods,Unsupervised Learning,Cluster Analysis,Hierarchical Clustering,
Ml Methods,Unsupervised Learning,Cluster Analysis,Hierarchical Clustering,Single-Linkage Clustering
Ml Methods,Unsupervised Learning,Cluster Analysis,Hierarchical Clustering,Conceptual Clustering
Ml Methods,Unsupervised Learning,Cluster Analysis,K-Means Clustering,
Ml Methods,Unsupervised Learning,Cluster Analysis,Mean-Shift,
Ml Methods,Unsupervised Learning,Cluster Analysis,K-Medians,
Ml Methods,Unsupervised Learning,Cluster Analysis,OPTICS algorithm,
Ml Methods,Unsupervised Learning,Anomaly Detection,,
Ml Methods,Unsupervised Learning,Anomaly Detection,K-Nearest Neighbor,
Ml Methods,Unsupervised Learning,Anomaly Detection,Local Outlier Factor,
Ml Methods,Unsupervised Learning,Association Rule Learning,Fp-Growth Algorithm,
Ml Methods,Artificial Neural Network,,,
Ml Methods,Artificial Neural Network,Feedforward Neural Network,,
Ml Methods,Artificial Neural Network,Feedforward Neural Network,Convolutional Neural Network,
Ml Methods,Artificial Neural Network,Recurrent Neural Network,,
Ml Methods,Artificial Neural Network,Recurrent Neural Network,Long Short-Term Memory,
Ml Methods,Artificial Neural Network,Self-Organizing Map,,
Ml Methods,Semi-Supervised Learning,,,
Ml Methods,Semi-Supervised Learning,Active Learning,,
Ml Methods,Semi-Supervised Learning,Generative Models,,
Ml Methods,Semi-Supervised Learning,Low-Density Separation,,
Ml Methods,Semi-Supervised Learning,Graph-Based Methods,,
Ml Methods,Semi-Supervised Learning,Co-Training,,
Ml Methods,Semi-Supervised Learning,Transduction,,
Ml Methods,Deep Learning,,,
Ml Methods,Deep Learning,Deep Belief Networks,,
Ml Methods,Deep Learning,Boltzmann Machines,,
Ml Methods,Deep Learning,Recurrent Neural Network,,
Ml Methods,Deep Learning,Convolutional Neural Network,,
Ml Methods,Deep Learning,Generative Models,Generative Adversarial Network,
Ml Methods,Deep Learning,Generative Models,Generative Adversarial Network,Style Transfer
Ml Methods,Deep Learning,Transformer Networks,,
Ml Methods,Deep Learning,Autoencoder,,
Ml Methods,Self-Supervised Learning,,,
Ml Methods,Self-Supervised Learning,Contrastive Learning Methods,,
Ml Methods,Self-Supervised Learning,Masked Language Models,,
Ml Methods,Self-Supervised Learning,Self-Training,,
Ml Methods,Deep Learning,Generative Models,Generative Adversarial Network,DCGAN
Ml Methods,Deep Learning,Generative Models,Generative Adversarial Network,CycleGAN
Ml Methods,Deep Learning,Transformer Networks,Encoder-Decoder,
Ml Methods,Deep Learning,Transformer Networks,Encoder,
Ml Methods,Deep Learning,Transformer Networks,Decoder,
Ml Methods,Artificial Neural Network,Recurrent Neural Network,Gated Recurrent Unit,
Ml Methods,Unsupervised Learning,Cluster Analysis,K-Means Clustering,Gaussian Mixture Models
Ml Methods,Unsupervised Learning,Cluster Analysis,Spectral Clustering,
Ml Methods,Deep Learning,Convolutional Neural Network,Inception,
Ml Methods,Deep Learning,Convolutional Neural Network,Resnet,
